Year,Military,Population
1960,47346.55267021261,180671000
1961,49879.77060505782,183691000
1962,54650.94260507726,186538000
1963,54561.21577542459,189242000
1964,53432.32705816654,191889000
1965,54561.791263226645,194303000
1966,66442.75152731784,196560000
1967,78398.44224052387,198712000
1968,84329.0312182481,200706000
1969,84990.16543077372,202677000
1970,83407.99300488817,205052000
1971,78237.97989308003,207661000
1972,80708.07096649353,209896000
1973,81469.79440758868,211909000
1974,89278.92033982002,213854000
1975,92080.92875364715,215973000
1976,94715.2510797143,218035000
1977,104665.21897162788,220239000
1978,113382.06374909346,222585000
1979,126879.92711675582,225055000
1980,143688.35487267602,227225000
1981,176558.87527082098,229466000
1982,221673.54258401977,231664000
1983,223427.16500573023,233792000
1984,245149.168288537,235825000
1985,272163.2293130574,237924000
1986,295546.2238035986,240133000
1987,304086.64868290786,242289000
1988,309661.2693009537,244499000
1989,321866.55880832026,246819000
1990,325129.31398603145,249623000
1991,299372.7791145914,252981000
1992,325033.735954804,256514000
1993,316719.4437474234,259919000
1994,308084.0,263126000
1995,295853.0977246614,266278000
1996,287960.6686789397,269394000
1997,293167.8257909711,272657000
1998,290996.05508837773,275854000
1999,298094.8913224043,279040000
2000,320086.3242111956,282162411
2001,331805.6105721368,284968955
2002,378463.1387538414,287625193
2003,440532.0695861917,290107933
2004,492999.3761593967,292805298
2005,533203.0,295516599
2006,558335.0,298379912
2007,589586.0,301231207
2008,656756.0,304093966
2009,705917.0,306771529
2010,738005.0,309327143
2011,752288.0,311583481
2012,725205.0,313877662
2013,679229.0,316059947
2014,647789.0,318386329
2015,633829.639,320738994
2016,639856.443,323071755
2017,646752.927,325122128
2018,682491.4,326838199
2019,734344.1,328329953
2020,778397.2,331511512
2021,806230.2,332031554
2022,876943.2,333287557
